Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,444,655,436,1.575,0.787,-1
1,445,648,443,1.277,0.639,-1
1,446,642,446,0.865,0.433,-1
1,447,620,455,3.066,1.533,-1
1,448,608,460,1.677,0.839,-1
1,449,589,468,2.659,1.330,-1
1,450,545,505,7.416,3.708,-1
1,451,513,531,5.319,2.659,-1
1,452,485,540,3.794,1.897,-1
1,453,452,565,5.341,2.670,-257
1,454,428,592,4.660,2.330,-1
1,455,406,611,3.750,1.875,-513
1,456,396,620,1.736,0.868,-1776412
1,457,383,642,3.296,1.648,-1
1,458,346,655,5.059,2.530,-1
1,459,310,664,4.787,2.393,-1
1,460,304,668,0.930,0.465,-1
1,461,253,687,7.021,3.510,-1
1,462,263,697,1.824,0.912,-1
1,463,260,717,2.609,1.304,-1
1,464,270,721,1.389,0.695,-328716
1,465,276,729,1.290,0.645,-1
1,466,280,733,0.730,0.365,-1
1,467,289,736,1.224,0.612,-196609
1,468,309,746,2.885,1.442,-1
1,469,316,753,1.277,0.639,-1
1,470,335,772,3.466,1.733,-257
1,471,376,785,5.548,2.774,-1282
1,472,396,780,2.659,1.330,-1
1,473,411,785,2.040,1.020,-1
1,474,419,786,1.040,0.520,-5
1,475,474,799,7.290,3.645,-1
1,476,475,799,0.129,0.064,-259
1,477,514,808,5.163,2.582,-1
1,478,538,809,3.099,1.549,-2
1,479,558,809,2.580,1.290,-1
1,480,583,803,3.317,1.658,-1
1,481,605,802,2.841,1.420,-1
1,482,627,800,2.850,1.425,-1
1,483,668,801,5.291,2.645,-1
1,484,701,781,4.978,2.489,-1
1,485,736,761,5.200,2.600,-5
1,486,749,755,1.847,0.923,-257
1,487,760,738,2.612,1.306,-259
1,488,766,733,1.008,0.504,-65796
1,489,775,723,1.736,0.868,-1
1,490,784,712,1.833,0.917,-1
1,491,793,695,2.481,1.241,-1
1,492,801,679,2.308,1.154,-1
1,493,806,666,1.797,0.898,-786433
1,494,797,652,2.147,1.073,-1
1,495,797,644,1.032,0.516,-1
1,496,789,613,4.130,2.065,-65794
1,497,777,598,2.478,1.239,-513
1,498,768,598,1.161,0.581,-131073
1,499,753,594,2.003,1.001,-1
1,500,753,593,0.129,0.064,-257
2,301,315,435,-1.000,-1.000,-1
2,302,313,422,1.697,0.848,-13274462
2,303,314,413,1.168,0.584,-1
2,304,316,405,1.064,0.532,-1
2,305,320,388,2.253,1.126,-1
2,306,332,357,4.288,2.144,-8477233
2,307,340,346,1.755,0.877,-1
2,308,354,326,3.149,1.575,-257
2,309,358,320,0.930,0.465,-1
2,310,371,302,2.864,1.432,-1
2,311,385,286,2.743,1.371,-1
2,312,402,271,2.925,1.462,-1
2,313,445,246,6.416,3.208,-131075
2,314,481,233,4.938,2.469,-1
2,315,502,223,3.000,1.500,-1
2,316,518,219,2.128,1.064,-1
2,317,537,212,2.612,1.306,-1
2,318,550,205,1.905,0.952,-263173
2,319,564,201,1.878,0.939,-1
2,320,576,200,1.553,0.777,-131073
2,321,582,209,1.395,0.698,-1
2,322,592,205,1.389,0.695,-14256467
2,323,597,202,0.752,0.376,-2
2,324,608,196,1.616,0.808,-257
2,325,608,199,0.387,0.194,-257
2,326,614,202,0.865,0.433,-12358267
2,327,636,203,2.841,1.420,-12358260
2,328,643,204,0.912,0.456,-1
2,329,650,206,0.939,0.470,-1
2,330,676,216,3.594,1.797,-1
2,331,680,217,0.532,0.266,-1
2,332,691,221,1.510,0.755,-1
2,333,695,223,0.577,0.288,-1
2,334,703,226,1.102,0.551,-1
2,335,711,232,1.290,0.645,-1
2,336,720,235,1.224,0.612,-257
2,337,735,236,1.939,0.970,-1
2,338,766,259,4.979,2.490,-257
2,339,774,266,1.371,0.686,-1
2,340,775,271,0.658,0.329,-1
2,341,784,282,1.833,0.917,-1
2,342,798,295,2.465,1.232,-1
2,343,801,304,1.224,0.612,-1
2,344,801,304,0.000,0.000,-1
2,345,803,328,3.107,1.553,-131073
2,346,801,334,0.816,0.408,-257
2,347,783,353,3.376,1.688,-1
2,348,772,368,2.400,1.200,-1
2,349,752,383,3.225,1.613,-1
2,350,743,389,1.395,0.698,-1
2,351,721,395,2.942,1.471,-196609
2,352,711,405,1.824,0.912,-1
2,353,699,411,1.731,0.865,-1
2,354,689,417,1.504,0.752,-1
2,355,684,424,1.110,0.555,-1
2,356,672,435,2.100,1.050,-1
2,357,672,435,0.000,0.000,-1
2,358,649,455,3.932,1.966,-1
2,359,600,481,7.156,3.578,-1
